PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,N
1,0-1,0,0-6,0-3,0-14,0-9,0-2,0-4,0-4,0-1
2,2-3,,7,4,15-17,10-11,3-4,5-6,5-6,2-3
3,4-6,1,8,5-6,18-20,12-14,5,7,7-8,4-5
4,7-10,2-4,9,7,21-23,15-16,6-7,8-9,9-10,6-8
5,11-13,5-6,,8-9,24-26,17-19,8-9,10-11,11-12,9-10
6,1416,7-9,10,10,27-29,20-21,10-11,12,13,11-12
7,17-20,10-12,11,11-12,30-32,22-24,12,13-14,14-15,13-14
8,21-23,13-14,12,13,33-36,25-26,13-14,15-16,16-17,15-16
9,24-27,15-17,13,14-15,37-40,27-29,15,17,18-19,17-19
10,28-31,18-19,14-15,16,41-43,30-31,16-17,18-19,20-21,20-21
11,32-34,20-22,16,17-18,44-47,32-33,18,20-21,22,22-23
12,35-38,23-24,17,19,48-51,34-36,19,22,23-24,24-25
13,39-42,25-26,18-19,20,52-54,37-38,20,23-24,25-26,26-27
14,43-46,27-28,20,21-22,55-58,39-40,21,25-26,17-28,28-29
15,47-50,29-30,21-22,23,59-62,41-42,22,27,29-30,30-31
16,51-54,31-32,23,24,63-66,43-45,23,28-29,31,3234
17,55-58,33-34,24-25,25,67-70,46-47,,30-31,32-33,35-36
18,59-61,35,26,26,71-73,48-49,24,32,34-35,37-38
19,62-68,36-44,27-32,27-28,74-119,50-68,25-30,33-35,36-42,39-60
