PP,CB,SM,DG,CN,CD,VC,SNI.,RM,CO,PS
1,0-2,0,0-7,0-4,0-17,0-11,0-3,0-5,0-6,0-2
2,3-4,1,8,5,18-20,12-13,4-5,6-7,7-8,3-4
3,5-8,2-3,9,6-7,21-23,14-16,6-7,8-9,9-10,5-6
4,9-12,4-5,10,8,24-27,17-19,8-9,10-11,11-12,7-9
5,13-16,6-8,,9-10,28-30,20-21,10-11,12-13,13-14,10-11
6,17-20,9-11,11,11,31-34,22-24,12,14,15-16,12-14
7,21-24,12-14,12,12-13,35-38,25-26,13-14,15-16,17-18,15-16
8,25-28,15-17,13,14,39-42,27-29,15,17-18,19-20,17-19
9,29-32,18-19,14,15-16,43-46,30-31,16-17,19-20,21-22,20-21
10,33-36,20-22,15-16,17,47-50,32-34,18,21,23,22-23
11,37-40,23-25,17,18-19,51-54,35-36,19,22-23,24-25,24-26
12,41-44,26-27,18,20,55-57,37-39,20,24-25,26-27,27-28
13,45-48,28-29,19-20,21,58-61,40-41,21,26,28-29,29-30
14,49-52,30-31,21,22,62-65,42-44,22,27-28,30-31,31-32
15,53-56,32-33,22-23,23,66-69,45-46,,29-30,32-33,33-34
16,57-59,34,24,24-25,70-74,47-48,23,31,34,35-36
17,60-63,35-36,25-26,26,75-78,49-50,24,32-33,35-36,37-38
18,64-65,,27-28,27,79-82,51-53,25,34,37-38,39-40
19,66-68,37-44,29-32,28,83-119,54-68,26-30,35,39-42,41-60
