PP,cg,SM,DG,CN,CD,VC,SNL,RM,CO,PS
1,0-4,0,0-8,0-5,0-22,0-13,5,0-6,0-8,0-5
2,5-7,1,9,6-7,23-25,14-16,6-7,7-8,9-10,6-7
3,8-11,2-3,10,8,26-29,17-19,8-9,9-10,11-12,8-9
4,12-15,4-6,11,9-10,30-32,20-21,10-11,11-12,13-14,10-12
5,16-19,7-10,,11,33-36,22-24,12-13,13-14,15-16,13-14
6,20-24,11-14,12,12-13,37-40,25-27,14,15-16,17-18,15-17
7,25-29,15-17,13,14,41-44,28-29,15,17-18,19-21,18-20
8,30-34,18-20,14,15,45-48,30-32,16-17,19-20,22-23,21-23
9,35-38,21-24,15,16-17,49-53,33-35,18,21-22,24-25,24-26
10,39-43,25-26,16,18,54-57,36-37,19,23,26-27,27-28
11,44-47,27-29,17-18,19,58-62,38-40,20,24-25,28-29,29-31
12,48-51,30-31,19-20,20-21,63-66,41-42,21,26-27,30,32-33
13,52-55,32-33,21,22,67-71,43-45,22,28,31-32,34-35
14,56-59,34,22-23,23,72-76,46-47,,29-30,33-34,36-38
15,60-62,35-36,24,24,77-81,48-50,23,31-32,35-36,39-40
16,63-64,37,25-26,25,82-86,51-52,24,33,37,41-42
17,65-66,38,27-28,26,87-91,53-55,25,34,38-39,43-44
18,67,39,29-30,27,92-97,56-57,26,,40,45-47
19,68,40-44,31-32,28,98-119,58-68,27-30,35,41-42,48-60
