PP,CB,SM,DG,CN,CD,VC,SNI,RM,CO,PS
1,0-4,0,0-8,5,0-24,0-14,0-6,0-6,0-8,0-5
2,5-7,1-2,9,6-7,25-27,15-16,7-8,7-8,9-10,6-7
3,8-11,3-4,10,8,28-30,17-19,9-10,9-10,11-12,8-9
4,12-16,5-7,11,9-10,3134,20-22,11-12,11-12,13-14,10-12
5,17-20,8-10,12,11,35-37,23-25,13,13-14,15-17,13-14
6,21-25,11-14,,12-13,38-41,26-27,14,15-16,18-19,15-17
7,26-30,15-18,13,14,42-46,28-30,15-16,17-18,20-21,18-20
8,31-35,19-21,14,15-16,47-50,31-33,17,19-20,22-23,21-23
9,36-40,22-25,15,17,51-54,34-35,18-19,21-22,24-25,24-26
10,41-44,26-27,16-17,18,55-59,36-38,20,23-24,26-28,27-29
11,45-49,28-30,18,19-20,60-64,39-41,21,25-26,29,30-32
12,50-53,31-32,19-20,21,65-69,42-43,,27,30-31,33-35
13,54-56,33-34,21-22,22,70-74,44-46,22,28-29,32-33,36-37
14,57-60,35,23,23,75-79,47-48,,30-31,34-35,38-39
15,61-63,36,24-25,24,80-84,49-51,23,32,36,40-41
16,64-65,37,26,25,85-90,52-53,24,33,37-38,42-43
17,66,38,27-28,26,91-95,54-56,25,34,39,44-45
18,67,39,29-30,27,96-101,57-58,26,,40,46-48
19,68,40-44,31-32,28,102-119,59-68,27-30,35,41-42,49-60
