PP,C B,SM,DG,C N,CD,VC,SNL,RM,CO,N
1,0,0,0-5,0-2,0-11,0-7,0,0-3,0-2,0-1
2,1-2,,6,3,12-14,8-9,1-2,4,3-4,2-3
3,3-4,1,7,4-5,15-17,10-12,3-4,5-6,5-6,4-5
4,5-7,2,8,6,18-20,13-14,5-6,7,7-8,6-7
5,8-10,3-4,9,7-8,21-22,15-16,7-8,8-9,9,8-9
6,11-13,5-7,,9,23-25,17-19,9,10,10-11,10-11
7,14-16,8-9,10,10-11,26-28,20-21,10-11,11-12,12-13,12-13
8,17-19,10-11,11,12,29-31,22-23,12,13-14,14-15,14-15
9,20-22,12-13,12-13,13-14,32-34,24-26,13-14,15,16,16-17
10,23-26,14-16,14,15,35-37,27-28,15,16-17,17-18,18-19
11,27-29,17-18,15,16,38-41,29-30,16,18,19-20,20-21
12,30-33,19-21,16,17-18,42-45,31-33,17-18,19-20,21-22,22-23
13,34-37,22-23,17-18,19,46-49,34-35,19,21-22,23,24-25
14,38-40,24-25,19,20-21,50-53,36-37,20,23-24,24-25,26-28
15,41-44,26-28,20,22,54-57,38-40,21,25,26-27,29-30
16,45-48,29-30,21-22,23,58-61,41-42,22,26-27,28-29,31-32
17,49-52,31-32,23,24-25,62-65,43-44,23,28-29,30,33-34
18,53-56,33-34,24-25,26,66-69,45-46,,30-31,31-32,35-37
19,57-68,35-44,26-32,27-28,69-119,47-68,24-30,32-35,33-42,38-60
